Company Name,Ticker,Market Cap (mil),Optionable,Div. Yield %,Next EPS Report Date  (yyyymmdd)
"D.R. Horton","DHI","36975.82","YES",".91","20231107"
"Danaher","DHR","140396.16","YES",".57","20240123"
"HF Sinclair","DINO","10096.52","YES","3.23","20231102"
"Diodes","DIOD","2990.61","YES","0","20231108"
"Disney","DIS","148340.17","YES","0","20231108"
"DISH Network","DISH","2610.57","YES","0","20231101"
"Delek Logistics Partners","DKL","2065.55","YES","8.74","20231107"
"DraftKings","DKNG","23335.8","YES","0","20231102"
"DICK'S Sporting Goods","DKS","9160.39","YES","3.71","20231121"
"Dolby Laboratories","DLB","7799.54","YES","1.32","20231116"
"DLocal Limited","DLO","4922.99","YES","0","20231121"
"Digital Realty Trust","DLR","38283.64","YES","3.86","20240215"
"Dollar Tree","DLTR","24528.42","YES","0","20231128"
"Ginkgo Bioworks","DNA","2854.44","YES","0","20231113"
"Dun & Bradstreet","DNB","4032.09","YES","2.18","20240215"
"Denali Therapeutics","DNLI","2614.72","YES","0","20231102"
"Krispy Kreme","DNUT","2191.65","YES","1.07","20231109"
"Physicians Realty Trust","DOC","2554.2","YES","8.59","20240228"
"Doximity","DOCS","3958.5","YES","0","20231109"
"DocuSign","DOCU","7862","YES","0","20231214"
"BRP","DOOO","5223.44","YES",".78","20231129"
"Dorman Products","DORM","2059.32","YES","0","20240227"
"Dover","DOV","18057.02","YES","1.58","20240130"
"Dow","DOW","33814.35","YES","5.81","20240125"
"Amdocs","DOX","9689.49","YES","2.17","20231107"
"Domino's Pizza","DPZ","12003.59","YES","1.41","20240222"
"Darden Restaurants","DRI","17525.04","YES","3.6","20231215"
"Leonardo DRS, Inc.","DRS","5109","YES","0","20231102"
"The Descartes Systems Group","DSGX","6123.2","YES","0","20231206"
"Dynatrace","DT","13022.08","YES","0","20231102"
"DTE Energy","DTE","19918.62","YES","3.94","20240222"
"DT Midstream","DTM","5362.57","YES","4.99","20240215"
"Duke Energy","DUK","69009.15","YES","4.58","20231102"
"Duolingo","DUOL","6173.29","YES","0","20231108"
"DoubleVerify","DV","4615.31","YES","0","20231109"
"DaVita","DVA","7070.27","YES","0","20231107"
"Devon Energy","DVN","29606.75","YES","1.73","20231107"
"DXC Technology","DXC","4162.99","YES","0","20240207"
"DexCom","DXCM","36369.38","YES","0","20240208"
"Dycom Industries","DY","2399.47","YES","0","20231128"
"Eni","E","58447.4","YES","4.31","20240222"
"Electronic Arts","EA","33533.45","YES",".61","20240130"
"eBay","EBAY","20599.81","YES","2.58","20231107"
"Ecopetrol","EC","24855.04","YES","19.75","20231107"
"Ecolab","ECL","47660.52","YES","1.27","20240213"
"Consolidated Edison","ED","30753.39","YES","3.63","20231102"
"Endeavor Group","EDR","16544.34","YES","1.02","20231108"
"New Oriental Education & Technology Group","EDU","11223.73","YES","0","20240116"
"Euronet Worldwide","EEFT","3777.58","YES","0","20240206"
"Equifax","EFX","20663.45","YES",".93","20240214"
"Everest Group, Ltd.","EG","17465.17","YES","1.74","20240214"
"Eldorado Gold","EGO","2238.48","YES","0","20240222"
"EastGroup Properties","EGP","7709.85","YES","3.05","20240206"
"Encompass Health","EHC","6271.1","YES",".96","20240206"
"Edison International","EIX","24518.98","YES","4.61","20240222"
"The Estee Lauder Companies","EL","37382.27","YES","2.53","20240201"
"Elanco Animal Health","ELAN","4251.79","YES","0","20231107"
"e.l.f. Beauty","ELF","5163.92","YES","0","20240207"
"Equity Lifestyle Properties","ELS","12300.05","YES","2.71","20240129"
"Elevance Health, Inc.","ELV","104946.85","YES","1.33","20240124"
"EMCOR Group","EME","9723.62","YES",".35","20240222"
"Eastman Chemical","EMN","8829.46","YES","4.24","20240125"
"Emerson Electric Co.","EMR","51428.35","YES","2.32","20231107"
"Enbridge","ENB","68868.61","YES","8.13","20231103"
"Enersis Chile","ENIC","4177.66","YES","9.45","20231103"
"EnLink Midstream","ENLC","5630.27","YES","4.1","20240213"
"Enovis","ENOV","2455.92","YES","0","20231107"
"Enphase Energy","ENPH","10477.57","YES","0","20240206"
"Energizer","ENR","2251.78","YES","3.81","20231114"
"Enersys","ENS","3526.56","YES","1.05","20231108"
"The Ensign Group","ENSG","5448.21","YES",".24","20240201"
"Entegris","ENTG","13332.62","YES",".45","20231102"
"Envestnet","ENV","2017.77","YES","0","20231108"
"EOG Resources","EOG","72328.45","YES","2.66","20231102"
"EPAM Systems","EPAM","12557.2","YES","0","20231102"
"Enterprise Products Partners","EPD","56400.41","YES","7.7","20240207"
"EPR Properties","EPR","3287.38","YES","7.56","20240228"
"Essential Properties Realty Trust","EPRT","3513.67","YES","4.97","20240221"
"Equity Commonwealth","EQC","2021.13","YES","0","20240214"
"Equitable Holdings","EQH","8756.72","YES","3.49","20240214"
"Equinix","EQIX","69392.05","YES","1.85","20240221"
"Equinor","EQNR","103710.93","YES","3.49","20240214"
"Equity Residential","EQR","20887.71","YES","4.98","20240208"
"EQT","EQT","17572.1","YES","1.4","20240221"
"Enerplus","ERF","3529.86","YES","1.47","20231102"
"Ericsson","ERIC","14814.59","YES","3.64","20240119"
"Erie Indemnity","ERIE","14427.48","YES","1.73","20240306"
"EmbraerEmpresa Brasileira de Aeronautica","ERJ","2629.83","YES","0","20231106"
"Eversource Energy","ES","18533.19","YES","5.09","20231101"
"ESAB Corporation","ESAB","4160.91","YES",".35","20240305"
"ESCO Technologies","ESE","2505.03","YES",".33","20231116"
"Enstar Group Limited","ESGR","3839.68","YES","0","20231102"
"Element Solutions","ESI","4373.86","YES","1.77","20240220"
"Elbit Systems","ESLT","8365.33","YES",".88","20231205"
"EngageSmart","ESMT","3789.04","YES","0","20231102"
"Essent Group","ESNT","5112.98","YES","2.09","20231102"
"Essex Property Trust","ESS","13342.05","YES","4.45","20240206"
"Elastic","ESTC","7330.25","YES","0","20231129"
"Energy Transfer","ET","41333.18","YES","9.51","20240221"
"Eaton","ETN","85781.62","YES","1.6","20240214"
"Entergy","ETR","20667.67","YES","4.38","20240215"
"Equitrans Midstream","ETRN","3843.02","YES","6.76","20240220"
"Etsy","ETSY","7462.02","YES","0","20240228"
"Evolent Health","EVH","2720.13","YES","0","20231102"
"Evercore","EVR","5001.89","YES","2.3","20240207"
"Evergy","EVRG","11441.46","YES","4.92","20231107"
"Evertec","EVTC","2092.75","YES",".62","20240228"
"Edwards Lifesciences","EW","38712.89","YES","0","20240130"
"East West Bancorp","EWBC","7631.63","YES","3.56","20240125"
"Exact Sciences","EXAS","11475.86","YES","0","20240220"
"Exelon","EXC","39341.01","YES","3.64","20231102"
"Exelixis","EXEL","6692.37","YES","0","20240206"
"EXL Service","EXLS","4274.8","YES","0","20240222"
"Eagle Materials","EXP","5535.85","YES",".63","20240125"
"Expeditors International of Washington","EXPD","16256.86","YES","1.26","20231107"
"Expedia Group","EXPE","13371.62","YES","0","20231102"
"eXp World Holdings","EXPI","2030.44","YES","1.51","20231102"
"Exponent","EXPO","3597.05","YES","1.47","20240201"
"Extra Space Storage","EXR","21833.63","YES","2.36","20231107"
"Extreme Networks","EXTR","2313.4","YES","0","20240124"
"Ford Motor","F","39662.05","YES","6.05","20240201"
"First American Financial","FAF","5371.62","YES","4.07","20240208"
"Diamondback Energy","FANG","28505.45","YES","2.11","20231106"
"Fastenal","FAST","33661.95","YES","2.38","20240118"
"Fortune Brands Innovations, Inc.","FBIN","7294.59","YES","1.59","20240215"
"First BanCorp.","FBP","2403.46","YES","4.15","20240126"
"FirstCash ","FCFS","4844.59","YES","1.3","20240201"
"FTI Consulting","FCN","7734.02","YES","0","20240222"
"First Citizens BancShares","FCNCA","19690.91","YES",".22","20240125"
"FreeportMcMoRan","FCX","48327.86","YES",".89","20240124"
"FactSet Research Systems","FDS","16584.62","YES",".9","20231219"
"FedEx","FDX","61152.99","YES","2.07","20231219"
"FirstEnergy","FE","20686.02","YES","4.33","20240212"
"Franklin Electric Co.","FELE","3922.27","YES","1.06","20240213"
"Ferguson plc","FERG","31329.86","YES","1.95","20231205"
"First Financial Bankshares","FFIN","3444.34","YES","2.98","20240118"
"F5","FFIV","9009.83","YES","0","20240123"
"F&G Annuities & Life, Inc.","FG","3859.35","YES","2.6","20231107"
"First Hawaiian","FHB","2296.97","YES","5.78","20240126"
"Federated Hermes","FHI","2782.18","YES","3.55","20240125"
"First Horizon","FHN","6022.81","YES","5.57","20240117"
"Fiserv","FI","68979.34","YES","0","20240206"
"First Interstate BancSystem","FIBK","2431.17","YES","8.12","20240125"
"Fair Isaac","FICO","21687.65","YES","0","20231108"
"Fidelity National Information Services","FIS","29196.7","YES","4.22","20231107"
"Fifth Third Bancorp","FITB","16103.02","YES","5.92","20240118"
"Five Below","FIVE","9699.9","YES","0","20231129"
"Five9","FIVN","4021.5","YES","0","20231102"
"Comfort Systems USA","FIX","6602.96","YES",".49","20240228"
"National Beverage","FIZZ","4325.1","YES","0","20231214"
"Flex","FLEX","11210.59","YES","0","20240124"
"Fluence Energy","FLNC","2943.3","YES","0","20231211"
"Flowers Foods","FLO","4630.02","YES","4.2","20231109"
"Fluor","FLR","4817.18","YES","0","20231103"
"Flowserve","FLS","4783.87","YES","2.19","20240220"
"FleetCor Technologies","FLT","16916.4","YES","0","20231108"
"Flywire Corporation","FLYW","3037.5","YES","0","20231107"
"FMC","FMC","6237.92","YES","4.64","20240206"
"Fresenius Medical Care AG & Co.","FMS","9800.01","YES","2.49","20240220"
"Fabrinet","FN","5585.14","YES","0","20231106"
"F.N.B.","FNB","3846.56","YES","4.48","20240122"
"Floor & Decor","FND","8825.15","YES","0","20231102"
"Fidelity National Financial","FNF","10976.79","YES","4.46","20231107"
"FrancoNevada","FNV","22973.64","YES","1.14","20231108"
"Amicus Therapeutics","FOLD","3152.59","YES","0","20231108"
"ForgeRock","FORG","2069.18","YES","0","20231108"
"FormFactor","FORM","2596.83","YES","0","20240214"
"Shift4 Payments","FOUR","3729.55","YES","0","20231108"
"Fox","FOX","13650.49","YES","1.86","20231102"
"Fox","FOXA","14903.01","YES","1.71","20231102"
"Fox Factory Holdings","FOXF","3441.94","YES","0","20231102"
"First Industrial Realty Trust","FR","5679.89","YES","2.98","20240214"
"Freedom Holding","FRHC","5033.1","YES","0","20231121"
"FRONTLINE PLC","FRO","5060.22","YES","14.08","20231129"
"JFrog","FROG","2295.45","YES","0","20240214"
"Freshpet","FRPT","2694","YES","0","20231106"
"Freshwork","FRSH","5152.1","YES","0","20240206"
"Federal Realty Investment Trust","FRT","7475.68","YES","4.75","20231102"
"FS KKR Capital Corp.","FSK","5399.68","YES","13.28","20231106"
"First Solar","FSLR","15261.63","YES","0","20240227"
"Federal Signal","FSS","3529.65","YES",".69","20231102"
"FirstService","FSV","6396.12","YES",".63","20240206"
"FTAI Aviation Ltd.","FTAI","3907.28","YES","3.08","20240222"
"Frontdoor","FTDR","2676.06","YES","0","20240306"
"TechnipFMC","FTI","9527.87","YES",".91","20240222"
"Fortinet","FTNT","45007.66","YES","0","20231102"
"Fortrea Holdings Inc.","FTRE","2509.49","YES","0","20231113"
"Fortis","FTS","19719.28","YES","4.13","20240209"
"Fortive","FTV","22909.96","YES",".43","20240207"
"H. B. Fuller","FUL","3561.64","YES","1.24","20240117"
"Fulton Financial","FULT","2147.14","YES","4.89","20240116"
"Futu Holdings","FUTU","8383.64","YES","0","20231120"
"Liberty Media Corporation - Liberty Formula One Se","FWONA","13543.3","YES","0","20231103"
"Liberty Media Corporation - Liberty Formula One Se","FWONK","15225.07","YES","0","20231103"
"Frontier Communications Parent","FYBR","4239.34","YES","0","20240223"
"Genpact","G","5985.31","YES","1.67","20231108"
"GATX","GATX","3792.47","YES","2.06","20240123"
"Glacier Bancorp","GBCI","3311.84","YES","4.42","20240125"
"Golub Capital BDC","GBDC","2467.6","YES","10.17","20231120"
"Global Business Travel Group, Inc.","GBTG","2269.36","YES","0","20231107"
"General Dynamics","GD","66232.06","YES","2.18","20240124"
"GoDaddy","GDDY","10807.41","YES","0","20231102"
"GoodRx","GDRX","2005.14","YES","0","20231109"
"General Electric","GE","116729.4","YES",".3","20240123"
"Greif","GEF","2964.65","YES","3.28","20231206"
"GE HealthCare Technologies Inc.","GEHC","31083.99","YES",".18","20240129"
"GEN DIGITAL INC","GEN","10633.87","YES","3.01","20231107"
"Griffon","GFF","2230.02","YES","1.22","20231116"
"GFL Environmental","GFL","10672.63","YES",".18","20240220"
"GlobalFoundries","GFS","26757.83","YES","0","20231107"
"Gerdau","GGB","7818.95","YES","11.7","20231106"
"Graco","GGG","12525.76","YES","1.27","20240129"
"Guardant Health","GH","3084.71","YES","0","20231106"
"CGI Group","GIB","22828.76","YES","0","20231108"
"Gildan Activewear","GIL","4863.74","YES","2.66","20231102"
"Gilead Sciences","GILD","99917.89","YES","3.74","20231107"
"General Mills","GIS","37841.28","YES","3.63","20231219"
"Glaukos","GKOS","3377.74","YES","0","20240228"
"Globe Life","GL","11021.01","YES",".77","20240207"
"Globale Online","GLBE","5693.85","YES","0","20231115"
"Globant","GLOB","7175.7","YES","0","20231116"
"Galapagos","GLPG","2196.35","YES","0","20231102"
"Gaming and Leisure Properties","GLPI","12042.41","YES","6.47","20240222"
"Corning","GLW","22745.64","YES","4.2","20240130"
"General Motors","GM","38345.47","YES","1.29","20240130"
"Genmab","GMAB","19126.54","YES","0","20231108"
"GameStop","GME","3971.19","YES","0","20231206"
"Globus Medical","GMED","4620.19","YES","0","20231107"
"GMS","GMS","2415.29","YES","0","20231214"
"Generac Holdings","GNRC","5983.38","YES","0","20240221"
"Gentex","GNTX","6785.98","YES","1.65","20240126"
"Genworth Financial","GNW","2797.05","YES","0","20231108"
"Grocery Outlet","GO","2759.84","YES","0","20231107"
"Barrick Gold","GOLD","28141.03","YES","2.56","20231102"
"Acushnet","GOLF","3338.68","YES","1.55","20231102"
"Alphabet","GOOG","1608530.13","YES","0","20240201"
"Alphabet","GOOGL","1594408","YES","0","20240201"
"Genuine Parts","GPC","18054.52","YES","2.95","20240222"
"Group 1 Automotive","GPI","3613.4","YES",".69","20240124"
"Graphic Packaging Holding Company","GPK","6611.18","YES","1.86","20240206"
"Global Payments","GPN","28344.53","YES",".92","20240209"
"Gulfport Energy","GPOR","2427.48","YES","0","20240227"
"The Gap","GPS","4759.53","YES","4.64","20231116"
"Grab ","GRAB","11428.7","YES","0","20231109"
"Garmin","GRMN","21735.49","YES","2.57","20240228"
"The Goldman Sachs Group","GS","101261.77","YES","3.58","20240116"
"Globalstar","GSAT","2520","YES","0","20231102"
"GSK PLC Sponsored ADR","GSK","70803","YES","3.89","20240207"
"Goodyear","GT","3345.03","YES","0","20231106"
"Gates Industrial","GTES","2867.98","YES","0","20231103"
"Gitlab","GTLB","6502.04","YES","0","20231204"
"Chart Industries","GTLS","4909.48","YES","0","20240223"
"Guidewire Software","GWRE","7273.47","YES","0","20231205"
"W.W. Grainger","GWW","36833.5","YES","1","20240201"
"GXO Logistics","GXO","5986.04","YES","0","20231107"
"Hyatt Hotels","H","10902.82","YES",".58","20231102"
"Haemonetics","HAE","4381.01","YES","0","20231102"
"Halliburton","HAL","35282.94","YES","1.62","20240123"
"Halozyme Therapeutics","HALO","4420.67","YES","0","20231106"
"Hasbro","HAS","6386.24","YES","6.08","20240215"
"Hayward Holdings","HAYW","2265.21","YES","0","20240227"
"Huntington Bancshares","HBAN","13944.96","YES","6.44","20240119"
"HCA Healthcare","HCA","60320.04","YES","1.07","20240126"
"Warrior Met Coal","HCC","2584.78","YES",".56","20240221"
"HashiCorp","HCP","3802.14","YES","0","20231206"
"Home Depot","HD","286648.91","YES","2.92","20231114"
"HDFC Bank Limited","HDB","105159.55","YES","1.03","20240112"
"Heico","HEI","21870.93","YES",".13","20231218"
"Heico","HEI.A","17591.27","YES",".16","20231218"
"Helen of Troy","HELE","2294.26","YES","0","20240104"
"Holly Energy Partners","HEP","2702.03","YES","6.55","20231102"
"Hess","HES","43679.43","YES","1.23","20240124"
"Hagerty","HGTY","2630.42","YES","0","20231108"
"Hilton Grand Vacations","HGV","3895.66","YES","0","20231106"
"HOWARD HUGH HLD","HHH","3409","YES","0","20231106"
"Hillenbrand","HI","2674.96","YES","2.3","20231115"
"The Hartford Financial Services Group","HIG","22214.86","YES","2.3","20240201"
"Huntington Ingalls Industries","HII","8810.34","YES","2.24","20231102"
"Hecla Mining","HL","2500.23","YES",".62","20231106"
"Houlihan Lokey","HLI","7069.22","YES","2.16","20240130"
"Hamilton Lane","HLNE","4601.71","YES","2.09","20231107"
"Hilton Worldwide","HLT","38755.82","YES",".4","20240208"
"Honda Motor Co.","HMC","53661.54","YES","2.06","20231108"
"HarleyDavidson","HOG","3868.05","YES","2.42","20240201"
"Hologic","HOLX","16335.19","YES","0","20231109"
"Home BancShares","HOMB","4100.25","YES","3.56","20240118"
"Honeywell International","HON","121295.52","YES","2.24","20240201"
"Robinhood Markets","HOOD","8275.03","YES","0","20231107"
"Helmerich & Payne","HP","3905.47","YES","2.55","20231108"
"Hewlett Packard","HPE","19922.89","YES","3.09","20231205"
"HighPeak Energy","HPK","2277.2","YES",".56","20231106"
"HP","HPQ","26169.36","YES","3.97","20231121"
"HealthEquity","HQY","5829.36","YES","0","20231205"
"Healthcare Realty Trust Incorporated","HR","5545.29","YES","8.52","20231103"
"H&R Block","HRB","6102.2","YES","3.07","20231107"
"Herc Holdings","HRI","3007.12","YES","2.38","20240213"
"Hormel Foods","HRL","17728.46","YES","3.39","20231129"
"HSBC","HSBC","145295.08","YES","5.46","20240220"
"Henry Schein","HSIC","8366.55","YES","0","20231107"
"Host Hotels & Resorts","HST","11101.04","YES","4.62","20240221"
"Hershey","HSY","38409.29","YES","2.54","20240201"
"Hercules Capital","HTGC","2290.5","YES","10.1","20231102"
"H World Group Limited Sponsored ADR","HTHT","11670.66","YES","0","20231127"
"Hertz Global","HTZ","2564.08","YES","0","20240206"
"Hubbell","HUBB","14968.42","YES","1.61","20240130"
"Hub Group","HUBG","2177.26","YES","0","20240201"
"HubSpot","HUBS","21062.46","YES","0","20231108"
"Humana","HUM","60635.01","YES",".72","20240207"
"Huntsman","HUN","4104.04","YES","4.12","20240220"
"Hancock Whitney","HWC","2998.03","YES","3.45","20240116"
"Howmet Aerospace","HWM","18434.02","YES",".36","20231102"
"Hexcel","HXL","5259.48","YES",".8","20240124"
"IAC INC","IAC","3367.98","YES","0","20231107"
"Integra LifeSciences","IART","2880.78","YES","0","20240228"
"Interactive Brokers","IBKR","33071.59","YES",".51","20240116"
"International Business Machines","IBM","132767.44","YES","4.57","20240124"
"ICICI Bank","IBN","77993.01","YES",".77","20240119"
"International Bancshares","IBOC","2740.7","YES","2.85","20231102"
"Installed Building Products","IBP","3272.33","YES","1.15","20231108"
"Intercontinental Exchange","ICE","60652.63","YES","1.55","20231102"
"ICF International","ICFI","2364.48","YES",".45","20231102"
"ICL Group","ICL","6242.68","YES","4.01","20231108"
"ICON","ICLR","20537.76","YES","0","20240228"
"ICU Medical","ICUI","2369.51","YES","0","20231106"
"IDACORP","IDA","4886.35","YES","3.44","20231102"
"InterDigital","IDCC","2015.39","YES","2.1","20231102"
"IDEXX Laboratories","IDXX","32814.05","YES","0","20240205"
"Icahn Enterprises","IEP","6436.98","YES","24.45","20231103"
"IDEX","IEX","14244.83","YES","1.36","20240130"
"International Flavors & Fragrances","IFF","17372.49","YES","4.76","20231106"
"International Game Technology","IGT","5122.3","YES","3.11","20240227"
"Innovative Industrial Properties","IIPR","2035.42","YES","9.92","20240226"
"Illumina","ILMN","16884.28","YES","0","20231109"
"Immunocore","IMCR","2220.47","YES","0","20231108"
"ImmunoGen","IMGN","3719.22","YES","0","20231102"
"Imperial Oil","IMO","32872.36","YES","2.54","20240130"
"Immunovant","IMVT","4373.58","YES","0","20231103"
"Incyte","INCY","12183.65","YES","0","20240206"
"Independent Bank","INDB","2205.89","YES","4.4","20240118"
"Informatica Inc.","INFA","5518.07","YES","0","20240214"
"Infosys","INFY","67870.65","YES","2.23","20240111"
"ING Group","ING","47364.32","YES","5.09","20231102"
"Ingredion","INGR","6155.69","YES","3.35","20231107"
"Insmed","INSM","3575.12","YES","0","20240222"
"Inspire Medical Systems","INSP","4586.06","YES","0","20231107"
"Instructure","INST","3503.29","YES","0","20240212"
"International Seaways","INSW","2423.48","YES",".97","20231107"
"Intapp","INTA","2325.79","YES","0","20231107"
"Intel","INTC","157214.64","YES","1.34","20240125"
"Intuit","INTU","137114.34","YES",".74","20231128"
"Invitation Home","INVH","18205.76","YES","3.5","20240221"
"IonQ","IONQ","2070.52","YES","0","20231108"
"Ionis Pharmaceuticals","IONS","6476.71","YES","0","20231102"
"Innospec","IOSP","2432.14","YES","1.41","20231107"
"Samsara Inc.","IOT","11950.83","YES","0","20231207"
"International Paper","IP","11629.64","YES","5.5","20240130"
"Inter Parfums","IPAR","4007.19","YES","1.99","20231107"
"The Interpublic Group of Companies","IPG","10858.17","YES","4.37","20240208"
"IPG Photonics","IPGP","4083.19","YES","0","20240213"
"iQIYI","IQ","4409.85","YES","0","20231121"
"IQVIA","IQV","32959.83","YES","0","20240209"
"Ingersoll Rand","IR","25068.72","YES",".13","20240220"
"Iridium Communications","IRDM","4547.79","YES","1.42","20240215"
"Iron Mountain","IRM","17411.92","YES","4.36","20231102"
"Independence Realty Trust","IRT","2822.36","YES","5.1","20240221"
"iRhythm Technologies","IRTC","2413.18","YES","0","20231102"
"Intuitive Surgical","ISRG","95221.28","YES","0","20240123"
"Gartner","IT","26163.67","YES","0","20231103"
"IntraCellular Therapies","ITCI","4879.73","YES","0","20231102"
"Integer Holdings","ITGR","2746.78","YES","0","20240215"
"Itron","ITRI","2584.41","YES","0","20231102"
"ITT","ITT","7714.94","YES","1.23","20231102"
"Illinois Tool Works","ITW","67560.91","YES","2.49","20240201"
"Invesco","IVZ","5863.47","YES","6.12","20240123"
"JACOBS SOLUTNS","J","16389.43","YES",".8","20231120"
"Jazz Pharmaceuticals","JAZZ","8035.15","YES","0","20231108"
"J.B. Hunt Transport Services","JBHT","17838.55","YES",".97","20240117"
"Jabil","JBL","15970.1","YES",".26","20231221"
"John Bean Technologies","JBT","3297.86","YES",".39","20240220"
"Johnson Controls International","JCI","33866.33","YES","2.97","20231102"
"JD.com","JD","35377.13","YES","2.37","20231115"
"Jefferies Financial Group","JEF","6855.74","YES","3.68","20240108"
"Janus Henderson Group","JHG","4002.29","YES","6.46","20240201"
"James Hardie Industries","JHX","11097.54","YES","0","20231107"
"J & J Snack Foods","JJSF","3064.38","YES","1.85","20231115"
"Jack Henry & Associates","JKHY","10217.59","YES","1.48","20231107"
"Jones Lang LaSalle","JLL","6215.48","YES","0","20231102"
"Johnson & Johnson","JNJ","357938.25","YES","3.2","20240123"
"Juniper Networks","JNPR","8504.22","YES","3.3","20240130"
"Joby Aviation, Inc.","JOBY","3718.76","YES","0","20240228"
"The St. Joe Company","JOE","2761.58","YES","1.01","20240228"
"JPMorgan Chase & Co.","JPM","403771.53","YES","3.02","20240112"
"Nordstrom","JWN","2276.43","YES","5.4","20231128"
"Jackson Financial","JXN","3057.73","YES","6.64","20231108"
"Kadant","KAI","2755.1","YES",".49","20240221"
"KB Home","KBH","3685.94","YES","1.72","20240110"
"KBR","KBR","7861.57","YES",".93","20231102"
"Kyndryl Holdings, Inc.","KD","3348.69","YES","0","20231107"
"Keurig Dr Pepper","KDP","42593.32","YES","2.82","20240222"
"Korea Electric Power","KEP","7806.28","YES","0","20231113"
"Kirby","KEX","4524.98","YES","0","20240130"
"KeyCorp","KEY","9499.58","YES","8.08","20240118"
"Keysight Technologies","KEYS","21451.02","YES","0","20231120"
"KornFerry International","KFY","2405.97","YES","1.58","20231214"
"Kinross Gold","KGC","6469.98","YES","2.28","20231108"
"Kraft Heinz Company","KHC","39551.09","YES","4.97","20240221"
"Kimco Realty","KIM","11219.72","YES","5.08","20240208"
"KKR & Co.","KKR","48844.87","YES","1.16","20231107"
"KLA","KLAC","64775.83","YES","1.09","20240125"
"Kulicke and Soffa Industries","KLIC","2349.29","YES","1.83","20231115"
"KimberlyClark","KMB","40373.81","YES","3.95","20240124"
"Kinder Morgan","KMI","36342.36","YES","6.91","20240117"
"Kemper","KMPR","2540.42","YES","3.13","20240201"
"CarMax","KMX","9756.51","YES","0","20231228"
"Knife River Corporation","KNF","3002.53","YES","0","20231106"
"Kinsale Capital Group","KNSL","7948.1","YES",".16","20240215"
"KINETIK HLDGS","KNTK","5202.75","YES","8.42","20231108"
"KnightSwift Transportation","KNX","7819.53","YES","1.16","20240125"
"Coca-Cola","KO","244013.48","YES","3.26","20240213"
"Kosmos Energy","KOS","3358.8","YES","0","20231106"
"The Kroger Co.","KR","32649.74","YES","2.56","20231207"
"Kilroy Realty","KRC","3337.81","YES","7.59","20240207"
"Kite Realty Group Trust","KRG","4734.07","YES","4.45","20240212"
"Karuna Therapeutics","KRTX","6523.32","YES","0","20231102"
"Krystal Biotech","KRYS","3339.99","YES","0","20231106"
"Kohl's","KSS","2476.11","YES","8.94","20231121"
"KT","KT","6303.77","YES","4.97","20231113"
"Kontoor Brands","KTB","2551.41","YES","4.22","20231102"
"Kratos Defense & Security Solutions","KTOS","2205.18","YES","0","20231102"
"Kenvue Inc.","KVUE","36153.2","YES","4.24","20240125"
"Klaviyo, Inc.","KVYO","7167.82","YES","0","20231107"
"Quaker Houghton","KWR","2568.85","YES","1.28","20231102"
"Loews","L","14544.78","YES",".38","20240205"
"Lithia Motors","LAD","6789.78","YES",".81","20240221"
"Lamar Advertising","LAMR","8359.74","YES","6.1","20231102"
"Lancaster Colony","LANC","4709.5","YES","1.99","20231102"
"Laureate Education","LAUR","2249.82","YES","0","20231102"
"Lazard","LAZ","3147.3","YES","7.17","20240201"
"Liberty Broadband","LBRDA","12179.55","YES","0","20231103"
"Liberty Broadband","LBRDK","12192.71","YES","0","20231103"
"Liberty Energy","LBRT","3365.42","YES","1","20240124"
"Liberty Global","LBTYA","6445.58","YES","0","20240228"
"Liberty Global","LBTYK","6984.48","YES","0","20240228"
"Lucid Group","LCID","9244.73","YES","0","20231107"
"LCI Industries","LCII","2796.07","YES","3.8","20231107"
"Leidos","LDOS","13912.9","YES","1.42","20240213"
"Lear","LEA","7588.35","YES","2.36","20240201"
"Lincoln Electric","LECO","10082.03","YES","1.45","20240220"
"Leggett & Platt","LEG","3108.76","YES","7.88","20240205"
"Lennar","LEN","31625.96","YES","1.35","20231213"
"Levi Strauss & Co.","LEVI","5440.75","YES","3.5","20240124"
"LifeStance Health Group","LFST","2154.63","YES","0","20231108"
"Littelfuse","LFUS","5614.03","YES","1.15","20240207"
"LGI Homes","LGIH","2357.56","YES","0","20240220"
"Labcorp","LH","17315.36","YES","1.41","20240215"
"L3Harris Technologies","LHX","33874.63","YES","2.55","20240125"
"Li Auto","LI","37124.75","YES","0","20231109"
"Lennox International","LII","13623.09","YES","1.15","20240130"
"Linde PLC","LIN","187701.11","YES","1.32","20240206"
"Lumentum","LITE","2594.23","YES","0","20231108"
"LivaNova","LIVN","2696.3","YES","0","20240228"
"LKQ","LKQ","11538.84","YES","2.55","20240222"
"Eli Lilly","LLY","526346.19","YES",".82","20231102"
"Lockheed Martin","LMT","112234.9","YES","2.65","20240123"
"Lincoln National","LNC","3637.04","YES","8.4","20240214"
"Cheniere Energy","LNG","40576.29","YES",".94","20231102"
"Alliant Energy","LNT","12509.59","YES","3.66","20231102"
"Lantheus","LNTH","4522.58","YES","0","20231102"
"Light & Wonder","LNW","6644.38","YES","0","20231109"
"Logitech International","LOGI","12498.36","YES","0","20240122"
"Grand Canyon Education","LOPE","3633.29","YES","0","20231102"
"Lowe's Companies","LOW","110396.36","YES","2.3","20231121"
"LG Display Co.","LPL","3234.65","YES","0","20231113"
"LPL Financial","LPLA","16521.58","YES",".55","20240201"
